"Qty:","Menge:"
"Special Price:","Sonderpreis:"
"My Wishlist","Wunschliste"
"My Wishlist (%d item)","Wunschliste (%d)"
"My Wishlist (%d items)","Wunschliste (%d)"
"My Account","Benutzerkonto"
"Cart","Warenkorb"
"View contents of your shopping cart","Warenkorb anzeigen"
"View shopping cart","Warenkorb anzeigen"
"Your cart is empty","Ihr Warenkorb ist leer "
"Compare Products","Vergleichen"
"Currency","Währung"
"Language","Sprache"
"Sign Up","Registrieren"
"Enter your e-mail","Geben Sie eine E-Mail-Adresse auf"
"Click to see more products from %s","Mehr von dieser Marke: %s"
"Related Products","Verwandt"
"Zoom","Zoom"
"image {current} of {total}","{current} / {total}"
"New","Neu"
"Sale","Verkauf"
"Categories","Kategorien"
"Menu","Menü"
